hip,ra_degrees,dec_degrees,k,vmag,angular_diameter_mas
98073,298.98078459,58.84601982,4250.0,4.98,15.3377
98085,299.005264,16.6348159,5500.0,5.71,6.5618
98103,299.05930285,11.42370978,9750.0,5.28,2.5069
98110,299.07665069,35.08349079,5000.0,3.89,17.9415
98162,299.23677038,-27.1698625,4550.0,4.54,16.4015
98174,299.27618092,-58.90131541,12000.0,5.24,1.6943
98194,299.30776056,40.36782505,20000.0,5.46,0.556
98234,299.43932749,16.78911537,12000.0,5.54,1.4798
98258,299.48758471,-15.49126255,9500.0,5.01,3.0044
98325,299.65816165,30.98367174,12000.0,5.51,1.5035
98332,299.67157464,-69.16371251,8750.0,5.74,2.5229
98337,299.68911516,19.49209287,4250.0,3.51,29.9299
98353,299.7382347,-26.19582739,5200.0,4.84,10.8616
98375,299.79409487,23.10127381,7500.0,5.68,3.5067
98383,299.83506255,45.77258164,8750.0,5.92,2.3391
98412,299.93405965,-35.27624433,26000.0,4.37,0.5418
98416,299.94787255,-9.95728408,6300.0,5.87,4.46
98421,299.96366659,-34.69763103,9000.0,5.3,2.9004
98425,299.97997979,37.04288602,24000.0,5.15,0.4454
98438,300.01378061,17.51654077,2900.0,5.33,28.0145
98461,300.06632739,-37.70171669,5200.0,5.95,6.5098
98470,300.08399517,-33.7027487,6450.0,5.65,4.6735
98478,300.09627712,-66.94888773,5000.0,5.75,7.6831
98495,300.14747226,-72.91018443,10000.0,3.97,4.2907
